"caso_id","llamante_descripcion","llamante_genero","llamante_vinculo_ninios_presentes","violencia_tipo","victima_edad","victima_rango_etario","victima_genero","victima_cantidad","agresor_cantidad","agresor_genero","agresor_relacion_victima","llamado_derivacion","llamado_fecha_hora","llamado_provincia","llamado_provincia_id"
"296527","Víctima","Femenino","No hay niñas/os","Psicológica","39","30 a 39 años","Femenino","1","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2019-04-08 14:50:00","Ciudad Autónoma de Buenos Aires","02"
"296528","Otra/o sobre una situación de conflicto familiar","Femenino","Hermana/o","No aplica","Sin dato","Sin dato","NS/NC","0","0","NS/NC","NS/NC","Se trata de un conflicto familiar","2019-04-08 15:55:00","Ciudad Autónoma de Buenos Aires","02"
"296529","Comisaría","Masculino","Sin datos","Física y psicológica","Sin dato","Sin dato","Femenino","1","1","Masculino","Ex pareja","Desplazamiento de un Equipo Móvil a donde se encontraba la/s víctima/s","2019-04-08 16:00:00","Ciudad Autónoma de Buenos Aires","02"
"296530","Víctima","Masculino","No hay niñas/os","Psicológica","37","30 a 39 años","Masculino","1","1","Femenino","Ex pareja","Llamante solicitó información y/o orientación","2019-04-08 15:05:00","Ciudad Autónoma de Buenos Aires","02"
"296531","Víctima","Femenino","No hay niñas/os","Económica, física y psicológica","49","40 a 49 años","Femenino","1","1","Masculino","Ex pareja","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-04-08 15:55:00","Ciudad Autónoma de Buenos Aires","02"
"296532","Comisaría","Femenino","Madre","Económica, física y psicológica","35","30 a 39 años","Femenino","1","1","Masculino","Ex pareja","No había móviles y/o Equipos para realizar la intervención","2019-04-08 16:10:00","Ciudad Autónoma de Buenos Aires","02"
"296533","Víctima","Femenino","No hay niñas/os","Psicológica","51","50 a 59 años","Femenino","1","1","Masculino","Pareja","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-04-08 16:30:00","Ciudad Autónoma de Buenos Aires","02"
"296534","Otro/a Particular","Masculino","No hay niñas/os","Física y psicológica","62","Más de 60 años","Masculino","1","1","Masculino","Hijo/a","Se planificó intervención para otro momento","2019-04-08 17:20:00","Ciudad Autónoma de Buenos Aires","02"
"296535","Víctima","Femenino","Madre","Física y psicológica","Sin dato","Sin dato","Femenino","1","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2019-04-08 19:15:00","Ciudad Autónoma de Buenos Aires","02"
"296536","Víctima","Femenino","Madre","Psicológica","38","30 a 39 años","Femenino","1","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2019-04-09 21:20:00","Ciudad Autónoma de Buenos Aires","02"
"296537","Víctima","Femenino","Sin datos","Psicológica","29","18 a 29 años","Femenino","2","1","Masculino","Otro/a no conviviente","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-04-09 20:05:00","Ciudad Autónoma de Buenos Aires","02"
"296538","Comisaría","Femenino","Otra/o no familiar","Física y psicológica","42","40 a 49 años","Femenino","1","1","Masculino","Pareja","La víctima no aceptó la intervención del Equipo Móvil","2019-04-09 20:25:00","Ciudad Autónoma de Buenos Aires","02"
"296539","Otra/o sobre una situación de conflicto familiar","Femenino","No hay niñas/os","No aplica","Sin dato","Sin dato","NS/NC","0","0","NS/NC","NS/NC","Se trata de un conflicto familiar","2019-04-09 23:20:00","Ciudad Autónoma de Buenos Aires","02"
"296540","Comisaría","Femenino","Otra/o no familiar","Física y psicológica","24","18 a 29 años","Femenino","1","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2019-04-09 23:45:00","Ciudad Autónoma de Buenos Aires","02"
"296541","Otra/o sobre una situación de conflicto familiar","Masculino","Padre","No aplica","Sin dato","Sin dato","NS/NC","0","0","NS/NC","NS/NC","Se trata de un conflicto familiar","2019-04-09 02:05:00","Ciudad Autónoma de Buenos Aires","02"
"296542","Otra/o sobre una situación de conflicto familiar","Femenino","Otra/o familiar","No aplica","Sin dato","Sin dato","NS/NC","0","0","NS/NC","NS/NC","Se trata de un conflicto familiar","2019-04-09 02:15:00","Ciudad Autónoma de Buenos Aires","02"
"296543","Comisaría","Masculino","No hay niñas/os","Física y psicológica","55","50 a 59 años","Femenino","1","1","Masculino","Pareja","La víctima no aceptó la intervención del Equipo Móvil","2019-04-09 02:40:00","Ciudad Autónoma de Buenos Aires","02"
"296544","Familiar","Femenino","Otra/o familiar","Física y psicológica","9","6 a 11 años","Femenino","3","1","Femenino","Madre","Llamante solicitó información y/o orientación","2019-04-09 10:45:00","Ciudad Autónoma de Buenos Aires","02"
"296545","Comisaría","Femenino","Madre","Física y psicológica","Sin dato","Sin dato","Femenino","1","1","Masculino","Ex pareja","Desplazamiento de un Equipo Móvil a donde se encontraba la/s víctima/s","2019-04-09 09:50:00","Ciudad Autónoma de Buenos Aires","02"
"296546","Otro/a Particular","Femenino","Madre","Psicológica","Sin dato","Sin dato","Masculino","1","1","NS/NC","NS/NC","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-04-09 10:30:00","Ciudad Autónoma de Buenos Aires","02"
"296547","Vecina/o","Femenino","Otra/o no familiar","Física y psicológica","Sin dato","Sin dato","Femenino","2","1","Femenino","Madre","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-04-09 11:00:00","Ciudad Autónoma de Buenos Aires","02"
"296548","Otra/o sobre una situación de conflicto familiar","Femenino","Madre","No aplica","Sin dato","Sin dato","NS/NC","0","0","NS/NC","NS/NC","Se trata de un conflicto familiar","2019-04-09 11:30:00","Ciudad Autónoma de Buenos Aires","02"
"296549","Comisaría","Femenino","Otra/o no familiar","Física y psicológica","22","18 a 29 años","Femenino","1","1","Masculino","Pareja","Desplazamiento de un Equipo Móvil a donde se encontraba la/s víctima/s","2019-04-09 15:00:00","Ciudad Autónoma de Buenos Aires","02"
"296550","Comisaría","Femenino","Madre","Física y psicológica","21","18 a 29 años","Femenino","1","1","Masculino","Pareja","La víctima no aceptó la intervención del Equipo Móvil","2019-04-09 14:30:00","Ciudad Autónoma de Buenos Aires","02"
"296551","Otro/a Particular","Femenino","Otra/o no familiar","Física y psicológica","13","12 a 17 años","Femenino","2","1","Femenino","Madre","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-04-09 14:30:00","Ciudad Autónoma de Buenos Aires","02"
"296552","Otro/a Particular","Femenino","Otra/o no familiar","Física y psicológica","Sin dato","Sin dato","Femenino","2","1","Femenino","Madre","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-04-09 16:30:00","Ciudad Autónoma de Buenos Aires","02"
"296553","NS/NC","Femenino","No hay niñas/os","Psicológica","Sin dato","Sin dato","NS/NC","1","1","NS/NC","Hermano/a","Está interviniendo o se deriva a otra institución","2019-04-09 19:15:00","Ciudad Autónoma de Buenos Aires","02"
"296554","Comisaría","Femenino","Otra/o no familiar","Física y psicológica","32","30 a 39 años","Femenino","4","1","Masculino","Ex pareja","La víctima no aceptó la intervención del Equipo Móvil","2019-04-09 19:45:00","Ciudad Autónoma de Buenos Aires","02"
"296555","Comisaría","Femenino","Otra/o no familiar","Física y psicológica","Sin dato","Sin dato","Femenino","1","1","Femenino","Madre","Llamante solicitó información y/o orientación","2019-04-09 19:35:00","Ciudad Autónoma de Buenos Aires","02"
"296556","Víctima","Femenino","No hay niñas/os","Psicológica","74","Más de 60 años","Femenino","1","1","Masculino","Hijo/a","Llamante solicitó información y/o orientación","2019-04-09 20:25:00","Ciudad Autónoma de Buenos Aires","02"
"296557","Víctima","Femenino","No hay niñas/os","Psicológica","42","40 a 49 años","Femenino","1","2","Masculino","Otro/a conviviente","Llamante solicitó información y/o orientación","2019-04-09 20:45:00","Ciudad Autónoma de Buenos Aires","02"
"296558","Comisaría","Femenino","No hay niñas/os","Física y psicológica","21","18 a 29 años","Femenino","1","1","Masculino","Pareja","La víctima no aceptó la intervención del Equipo Móvil","2019-04-09 21:25:00","Ciudad Autónoma de Buenos Aires","02"
"296559","Comisaría","Femenino","Otra/o no familiar","Física y psicológica","25","18 a 29 años","Femenino","2","1","Masculino","Pareja","Llamante solicitó información y/o orientación","2019-04-10 00:20:00","Ciudad Autónoma de Buenos Aires","02"
"296560","Comisaría","Femenino","Otra/o no familiar","Física y psicológica","28","18 a 29 años","Femenino","2","1","Masculino","Pareja","Llamante solicitó información y/o orientación","2019-04-10 01:05:00","Ciudad Autónoma de Buenos Aires","02"
"296561","Comisaría","Femenino","Otra/o no familiar","Física y psicológica","24","18 a 29 años","Femenino","1","1","Masculino","Pareja","La víctima no aceptó la intervención del Equipo Móvil","2019-04-10 02:05:00","Ciudad Autónoma de Buenos Aires","02"
"296562","Otro/a Particular","Femenino","Otra/o no familiar","Física y psicológica","27","18 a 29 años","Femenino","3","1","Masculino","Pareja","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-04-10 03:05:00","Ciudad Autónoma de Buenos Aires","02"
"296563","Familiar","Femenino","Madre","Física y psicológica","24","18 a 29 años","Femenino","1","1","Masculino","Ex pareja","La víctima no aceptó la intervención del Equipo Móvil","2019-04-10 16:10:00","Ciudad Autónoma de Buenos Aires","02"
"296564","Víctima","Femenino","Madre","Física y psicológica","23","18 a 29 años","Femenino","3","2","Masculino","Pareja","Desplazamiento de un Equipo Móvil a donde se encontraba la/s víctima/s","2019-04-10 09:55:00","Ciudad Autónoma de Buenos Aires","02"
"296565","Otro/a Particular","Femenino","Otra/o no familiar","Psicológica","Sin dato","Sin dato","Masculino","2","1","Femenino","Madre","Llamante solicitó información y/o orientación","2019-04-10 11:50:00","Ciudad Autónoma de Buenos Aires","02"
"296566","Profesionales de la Línea 137","NS/NC","Sin datos","No aplica","Sin dato","Sin dato","NS/NC","0","0","NS/NC","NS/NC","Comunicación con Equipos Móviles","2019-04-10 13:00:00","Ciudad Autónoma de Buenos Aires","02"
"296567","Comisaría","Femenino","Otra/o no familiar","Física y psicológica","31","30 a 39 años","Femenino","1","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2019-04-10 12:30:00","Ciudad Autónoma de Buenos Aires","02"
"296568","Víctima","Femenino","No hay niñas/os","Física y psicológica","63","Más de 60 años","Femenino","1","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2019-04-10 13:05:00","Ciudad Autónoma de Buenos Aires","02"
"296569","Comisaría","Masculino","No hay niñas/os","Física y psicológica","52","50 a 59 años","Femenino","1","1","Femenino","Hijo/a","Llamante solicitó información y/o orientación","2019-04-10 11:30:00","Ciudad Autónoma de Buenos Aires","02"
"296570","Comisaría","Femenino","No hay niñas/os","Psicológica","44","40 a 49 años","Femenino","1","1","Masculino","Pareja","Desplazamiento de un Equipo Móvil a donde se encontraba la/s víctima/s","2019-04-10 13:20:00","Ciudad Autónoma de Buenos Aires","02"
"296571","Otro/a Particular","Masculino","No hay niñas/os","Psicológica","62","Más de 60 años","Masculino","1","1","Masculino","Hijo/a","Llamante solicitó información y/o orientación","2019-04-10 15:30:00","Ciudad Autónoma de Buenos Aires","02"
"296572","Comisaría","Femenino","Otra/o no familiar","Psicológica","37","30 a 39 años","Femenino","1","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2019-04-10 17:40:00","Ciudad Autónoma de Buenos Aires","02"
"296573","Comisaría","Femenino","Otra/o no familiar","Física y psicológica","41","40 a 49 años","Femenino","1","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2019-04-10 18:35:00","Ciudad Autónoma de Buenos Aires","02"
"296574","Comisaría","Femenino","Otra/o no familiar","Física y psicológica","Sin dato","Sin dato","Femenino","2","1","Masculino","Ex pareja","La víctima no aceptó la intervención del Equipo Móvil","2019-04-10 20:30:00","Ciudad Autónoma de Buenos Aires","02"
"296575","Otro/a Particular","Femenino","Sin datos","Física y psicológica","23","18 a 29 años","Femenino","1","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2019-04-10 21:00:00","Ciudad Autónoma de Buenos Aires","02"
"296576","Comisaría","Femenino","Otra/o no familiar","Física y psicológica","19","18 a 29 años","Femenino","1","1","Masculino","Pareja","No había móviles y/o Equipos para realizar la intervención","2019-04-10 22:20:00","Ciudad Autónoma de Buenos Aires","02"
"296577","Comisaría","Masculino","Otra/o no familiar","Psicológica","34","30 a 39 años","Femenino","1","1","Femenino","Otro/a no conviviente","Llamante solicitó información y/o orientación","2019-04-11 08:45:00","Ciudad Autónoma de Buenos Aires","02"
"296578","Vecina/o","Femenino","Otra/o no familiar","Física y psicológica","13","12 a 17 años","Masculino","3","1","Femenino","Madre","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-04-11 10:05:00","Ciudad Autónoma de Buenos Aires","02"
"296579","Vecina/o","Femenino","Sin datos","Física y psicológica","6","6 a 11 años","Masculino","1","2","Masculino","Padre","Llamante solicitó información y/o orientación","2019-04-11 11:00:00","Ciudad Autónoma de Buenos Aires","02"
"296580","Familiar","Femenino","No hay niñas/os","Económica, física y psicológica","84","Más de 60 años","Femenino","1","1","Femenino","Hijo/a","Llamante solicitó información y/o orientación","2019-04-11 14:05:00","Ciudad Autónoma de Buenos Aires","02"
"296581","Comisaría","Femenino","Madre","Física y psicológica","Sin dato","Sin dato","Femenino","4","1","Masculino","Pareja","Se planificó intervención para otro momento","2019-04-11 03:00:00","Ciudad Autónoma de Buenos Aires","02"
"296582","Víctima","Femenino","Madre","Psicológica","52","50 a 59 años","Femenino","2","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2019-04-11 12:00:00","Ciudad Autónoma de Buenos Aires","02"
"296583","Víctima","Femenino","Madre","Psicológica","39","30 a 39 años","Femenino","1","1","Masculino","Madre","No había móviles y/o Equipos para realizar la intervención","2019-04-11 15:00:00","Ciudad Autónoma de Buenos Aires","02"
"296584","Comisaría","Femenino","Madre","Psicológica","Sin dato","Sin dato","Femenino","3","1","Masculino","Pareja","No había móviles y/o Equipos para realizar la intervención","2019-04-11 17:30:00","Ciudad Autónoma de Buenos Aires","02"
"296585","Comisaría","Femenino","Otra/o no familiar","Psicológica","37","30 a 39 años","Femenino","1","1","Masculino","Ex pareja","La víctima no aceptó la intervención del Equipo Móvil","2019-04-12 00:10:00","Ciudad Autónoma de Buenos Aires","02"
"296586","Familiar","Masculino","Padre","Física y psicológica","16","12 a 17 años","Masculino","1","1","Femenino","Madre","Llamante solicitó información y/o orientación","2019-04-12 01:00:00","Ciudad Autónoma de Buenos Aires","02"
"296587","Víctima","Femenino","Sin datos","Física y psicológica","Sin dato","Sin dato","NS/NC","1","1","Masculino","NS/NC","No había móviles y/o Equipos para realizar la intervención","2019-04-12 07:10:00","Ciudad Autónoma de Buenos Aires","02"
"296588","Víctima","Femenino","Otra/o familiar","Física y psicológica","Sin dato","Sin dato","Femenino","1","1","Masculino","Hijo/a","Llamante solicitó información y/o orientación","2019-04-12 08:45:00","Ciudad Autónoma de Buenos Aires","02"
"296589","Víctima","Femenino","Madre","Física y psicológica","32","30 a 39 años","Femenino","3","1","Masculino","Pareja","Llamante solicitó información y/o orientación","2019-04-12 07:50:00","Ciudad Autónoma de Buenos Aires","02"
"296590","Víctima","Femenino","Madre","Física y psicológica","Sin dato","Sin dato","Femenino","3","1","Masculino","Pareja","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-04-12 10:45:00","Ciudad Autónoma de Buenos Aires","02"
"296591","Víctima","Femenino","No hay niñas/os",,"36","30 a 39 años","Femenino","1","2","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2019-04-12 11:00:00","Ciudad Autónoma de Buenos Aires","02"
"296592","Comisaría","Femenino","No hay niñas/os","Física y psicológica","22","18 a 29 años","Femenino","1","1","Masculino","Pareja","No había móviles y/o Equipos para realizar la intervención","2019-04-12 10:35:00","Ciudad Autónoma de Buenos Aires","02"
"296593","Hospital","Femenino","Otra/o no familiar","Física y psicológica","2","0 a 5 años","Femenino","1","1","Masculino","Padre","No había móviles y/o Equipos para realizar la intervención","2019-04-12 11:30:00","Ciudad Autónoma de Buenos Aires","02"
"296594","Comisaría","Femenino","Otra/o no familiar","Física y psicológica","47","40 a 49 años","Femenino","2","1","Masculino","Ex pareja","No había móviles y/o Equipos para realizar la intervención","2019-04-12 13:35:00","Ciudad Autónoma de Buenos Aires","02"
"296595","Familiar","NS/NC","Madre","Sexual y psicológica","Sin dato","Sin dato","Masculino","1","1","Masculino","Padre","Llamante solicitó información y/o orientación","2019-04-12 15:15:00","Ciudad Autónoma de Buenos Aires","02"
"296596","Profesionales de la Línea 137","NS/NC","Sin datos","No aplica","Sin dato","Sin dato","NS/NC","0","0","NS/NC","NS/NC","Comunicación con Equipos Móviles","2019-04-12 15:30:00","Ciudad Autónoma de Buenos Aires","02"
"296597","Vecina/o","Masculino","No hay niñas/os","Psicológica","Sin dato","Sin dato","Femenino","1","1","Masculino","Hijo/a","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-04-12 18:35:00","Ciudad Autónoma de Buenos Aires","02"
"296598","Comisaría","Femenino","Otra/o no familiar","Física y psicológica","25","18 a 29 años","Femenino","2","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2019-04-12 19:00:00","Ciudad Autónoma de Buenos Aires","02"
"296599","Víctima","Femenino","Sin datos","Psicológica","Sin dato","Sin dato","Femenino","1","4","Masculino","Pareja","Llamante solicitó información y/o orientación","2019-04-12 21:10:00","Ciudad Autónoma de Buenos Aires","02"
"296600","Familiar","Masculino","Padre","Física y psicológica","5","0 a 5 años","Femenino","1","1","Femenino","Madre","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-04-13 23:30:00","Ciudad Autónoma de Buenos Aires","02"
"296601","Comisaría","Masculino","Otra/o no familiar","Física y psicológica","7","6 a 11 años","Femenino","1","1","Masculino","Padre","Desplazamiento de un Equipo Móvil a donde se encontraba la/s víctima/s","2019-04-13 23:20:00","Ciudad Autónoma de Buenos Aires","02"
"296602","Comisaría","Masculino","Madre","Física y psicológica","26","18 a 29 años","Femenino","1","1","Masculino","Pareja","Llamante solicitó información y/o orientación","2019-04-13 01:50:00","Ciudad Autónoma de Buenos Aires","02"
"296603","Comisaría","Femenino","Otra/o no familiar","Física y psicológica","44","40 a 49 años","Femenino","1","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2019-04-13 03:00:00","Ciudad Autónoma de Buenos Aires","02"
"296604","Comisaría","Femenino","Otra/o no familiar","Física y psicológica","28","18 a 29 años","Femenino","1","1","Masculino","Pareja","La víctima no aceptó la intervención del Equipo Móvil","2019-04-13 03:25:00","Ciudad Autónoma de Buenos Aires","02"
"296605","Comisaría","Masculino","No hay niñas/os","Física y psicológica","48","40 a 49 años","Femenino","1","1","Masculino","Padre","Llamante solicitó información y/o orientación","2019-04-13 05:00:00","Ciudad Autónoma de Buenos Aires","02"
"296606","Familiar","Masculino","Padre","Física y psicológica","9","6 a 11 años","Femenino","2","1","Femenino","Madre","Llamante solicitó información y/o orientación","2019-04-13 08:00:00","Ciudad Autónoma de Buenos Aires","02"
"296607","Comisaría","Masculino","Padre","Física y psicológica","58","50 a 59 años","Masculino","1","1","Femenino","Ex pareja","Llamante solicitó información y/o orientación","2019-04-13 10:20:00","Ciudad Autónoma de Buenos Aires","02"
"296608","Víctima","Femenino","Madre","Psicológica","Sin dato","Sin dato","Femenino","5","1","Masculino","Pareja","Llamante solicitó información y/o orientación","2019-04-13 14:05:00","Ciudad Autónoma de Buenos Aires","02"
"296609","Vecina/o","Femenino","Otra/o no familiar","Psicológica","Sin dato","Sin dato","NS/NC","3","1","Femenino","Madre","Llamante solicitó información y/o orientación","2019-04-13 17:35:00","Ciudad Autónoma de Buenos Aires","02"
"296610","Comisaría","Masculino","Otra/o no familiar","Física y psicológica","32","30 a 39 años","Femenino","1","1","Masculino","Pareja","Desplazamiento de un Equipo Móvil a donde se encontraba la/s víctima/s","2019-04-13 19:15:00","Ciudad Autónoma de Buenos Aires","02"
"296611","NS/NC","NS/NC","Sin datos","Física y psicológica","Sin dato","Sin dato","NS/NC","0","0","NS/NC","NS/NC","Llamante solicitó información y/o orientación","2019-04-13 21:00:00","Ciudad Autónoma de Buenos Aires","02"
"296612","Otra/o sobre una situación de conflicto familiar","Femenino","Otra/o familiar","No aplica","Sin dato","Sin dato","NS/NC","0","0","NS/NC","NS/NC","Se trata de un conflicto familiar","2019-04-13 21:45:00","Ciudad Autónoma de Buenos Aires","02"
"296613","Víctima","Femenino","Madre","Física y psicológica","28","18 a 29 años","Femenino","3","1","Femenino","Madre","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-04-13 20:50:00","Ciudad Autónoma de Buenos Aires","02"
"296614","Comisaría","Masculino","Sin datos","Física y psicológica","44","40 a 49 años","Femenino","1","1","Masculino","Padre","Llamante solicitó información y/o orientación","2019-04-13 22:00:00","Ciudad Autónoma de Buenos Aires","02"
"296615","Comisaría","Femenino","Otra/o no familiar","Física y psicológica","39","30 a 39 años","Femenino","5","1","Masculino","Pareja","La víctima no aceptó la intervención del Equipo Móvil","2019-04-13 21:25:00","Ciudad Autónoma de Buenos Aires","02"
"296616","Víctima","Femenino","Madre","Física y psicológica","Sin dato","Sin dato","Femenino","1","1","Masculino","Ex pareja","Está interviniendo o se deriva a otra institución","2019-04-14 20:15:00","Ciudad Autónoma de Buenos Aires","02"
"296617","Familiar","Femenino","No hay niñas/os","Física y psicológica","80","Más de 60 años","Femenino","1","2","Femenino","Hijo/a","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-04-14 00:10:00","Ciudad Autónoma de Buenos Aires","02"
"296618","Comisaría","Masculino","No hay niñas/os","Física y psicológica","26","18 a 29 años","Femenino","1","1","Masculino","Pareja","La víctima no aceptó la intervención del Equipo Móvil","2019-04-14 01:00:00","Ciudad Autónoma de Buenos Aires","02"
"296619","Comisaría","Femenino","No hay niñas/os","Física y psicológica","18","18 a 29 años","Femenino","1","1","Masculino","Ex pareja","La víctima no aceptó la intervención del Equipo Móvil","2019-04-14 01:20:00","Ciudad Autónoma de Buenos Aires","02"
"296620","Comisaría","Femenino","No hay niñas/os","Física y psicológica","44","40 a 49 años","Femenino","1","1","Masculino","Pareja","Llamante solicitó información y/o orientación","2019-04-14 03:15:00","Ciudad Autónoma de Buenos Aires","02"
"296621","Familiar","Masculino","Padre","Física y psicológica","13","12 a 17 años","Femenino","1","1","Femenino","Madre","Llamante solicitó información y/o orientación","2019-04-14 00:35:00","Ciudad Autónoma de Buenos Aires","02"
"296622","Víctima","Femenino","Madre","Psicológica","46","40 a 49 años","Femenino","1","1","Masculino","Ex pareja","La víctima no aceptó la intervención del Equipo Móvil","2019-04-14 02:25:00","Ciudad Autónoma de Buenos Aires","02"
"296623","NS/NC","Masculino","Sin datos","Física y psicológica","Sin dato","Sin dato","NS/NC","0","0","NS/NC","NS/NC","La víctima no aceptó la intervención del Equipo Móvil","2019-04-14 00:30:00","Ciudad Autónoma de Buenos Aires","02"
"296624","Profesionales de la Línea 137","NS/NC","Sin datos","No aplica","Sin dato","Sin dato","NS/NC","0","0","NS/NC","NS/NC","Comunicación con Equipos Móviles","2019-04-14 21:50:00","Ciudad Autónoma de Buenos Aires","02"
"296625","NS/NC","NS/NC","Sin datos","Física y psicológica","Sin dato","Sin dato","NS/NC","0","0","NS/NC","NS/NC","La víctima no aceptó la intervención del Equipo Móvil","2019-04-14 07:00:00","Ciudad Autónoma de Buenos Aires","02"
"296626","Profesionales de la Línea 137","NS/NC","Sin datos","No aplica","Sin dato","Sin dato","NS/NC","0","0","NS/NC","NS/NC","Comunicación con Equipos Móviles","2019-04-14 12:00:00","Ciudad Autónoma de Buenos Aires","02"
"296627","Comisaría","Masculino","Otra/o no familiar","Física y psicológica","41","40 a 49 años","Femenino","2","1","Masculino","Pareja","Llamante solicitó información y/o orientación","2019-04-14 11:45:00","Ciudad Autónoma de Buenos Aires","02"
"296628","Comisaría","Femenino","No hay niñas/os","Física y psicológica","54","50 a 59 años","Femenino","1","1","Masculino","Pareja","Llamante solicitó información y/o orientación","2019-04-14 14:00:00","Ciudad Autónoma de Buenos Aires","02"
"296629","Comisaría","Femenino","Otra/o no familiar","Física y psicológica","35","30 a 39 años","Masculino","3","1","Femenino","Pareja","La víctima no aceptó la intervención del Equipo Móvil","2019-04-14 15:40:00","Ciudad Autónoma de Buenos Aires","02"
"296630","Víctima","Femenino","Madre","Psicológica","Sin dato","Sin dato","Femenino","1","1","Masculino","Ex pareja","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-04-14 14:50:00","Ciudad Autónoma de Buenos Aires","02"
"296631","Víctima","Femenino","Otra/o familiar","Física y psicológica","Sin dato","Sin dato","Femenino","3","1","Masculino","Hermano/a","La víctima no aceptó la intervención del Equipo Móvil","2019-04-14 15:30:00","Ciudad Autónoma de Buenos Aires","02"
"296632","Víctima","Femenino","No hay niñas/os","Física y psicológica","Sin dato","Sin dato","Femenino","1","1","Masculino","Hijo/a","Llamante solicitó información y/o orientación","2019-04-14 15:45:00","Ciudad Autónoma de Buenos Aires","02"
"296633","Víctima","Femenino","No hay niñas/os","Física y psicológica","Sin dato","Sin dato","Femenino","1","1","Masculino","Hijo/a","Llamante solicitó información y/o orientación","2019-04-14 16:30:00","Ciudad Autónoma de Buenos Aires","02"
"296634","Vecina/o","Masculino","No hay niñas/os","Psicológica","Sin dato","Sin dato","Femenino","1","1","Masculino","Hijo/a","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-04-14 17:10:00","Ciudad Autónoma de Buenos Aires","02"
"296635","Familiar","Masculino","Padre","Física y psicológica","5","0 a 5 años","Femenino","1","1","Femenino","Madre","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-04-14 19:20:00","Ciudad Autónoma de Buenos Aires","02"
"296636","Comisaría","Femenino","Otra/o no familiar",,"11","6 a 11 años","Masculino","1","1","Masculino","Padre","Desplazamiento de un Equipo Móvil a donde se encontraba la/s víctima/s","2019-04-14 19:20:00","Ciudad Autónoma de Buenos Aires","02"
"296638","Comisaría","Femenino","Otra/o no familiar","Física y psicológica","24","18 a 29 años","Femenino","3","1","Masculino","Pareja","No había móviles y/o Equipos para realizar la intervención","2019-04-15 21:00:00","Ciudad Autónoma de Buenos Aires","02"
"296639","Familiar","Femenino","Madre","Psicológica","4","0 a 5 años","Masculino","1","1","Masculino","Padre","Llamante solicitó información y/o orientación","2019-04-15 21:00:00","Ciudad Autónoma de Buenos Aires","02"
"296640","Comisaría","Femenino","Otra/o no familiar","Física y psicológica","11","6 a 11 años","Masculino","1","1","Masculino","Padrastro","Desplazamiento de un Equipo Móvil a donde se encontraba la/s víctima/s","2019-04-15 20:40:00","Ciudad Autónoma de Buenos Aires","02"
"296641","Vecina/o","Femenino","Otra/o no familiar","Física y psicológica","4","0 a 5 años","Masculino","1","1","Femenino","Madre","No había móviles y/o Equipos para realizar la intervención","2019-04-15 22:40:00","Ciudad Autónoma de Buenos Aires","02"
"296642","Comisaría","Masculino","Otra/o no familiar","Física y psicológica","31","30 a 39 años","Femenino","1","1","Masculino","Otro/a no conviviente","No había móviles y/o Equipos para realizar la intervención","2019-04-15 23:45:00","Ciudad Autónoma de Buenos Aires","02"
"296643","Comisaría","Masculino","Otra/o no familiar","Física y psicológica","21","18 a 29 años","Femenino","1","1","Masculino","Pareja","No había móviles y/o Equipos para realizar la intervención","2019-04-15 01:15:00","Ciudad Autónoma de Buenos Aires","02"
"296644","Familiar","Femenino","Otra/o familiar","Física y psicológica","Sin dato","Sin dato","Femenino","3","1","Masculino","Padrastro","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-04-15 22:45:00","Ciudad Autónoma de Buenos Aires","02"
